CustomerID,FirstName,LastName,CardNumber,CVV,CardBrand
2736288,Burtie,Asken,8504428726232130,912,MASTERCARD
5375221,Tamqrah,Fann,3134590244960190,157,VISA
8848971,Vannie,Paolillo,5447846043965850,429,VISA
9562870,Norine,Waggatt,8808879951748510,388,VISA
5601096,Friedrick,Folkerd,6755213319202780,767,VISA
2483013,Mattie,Doblin,4969372335080440,461,AMERICAN EXPRESS
3862661,Gabriello,Runnett,9317148293513640,677,MASTERCARD
6854463,Lilah,Seares,7782622942555490,502,MASTERCARD
5601096,Friedrick,Folkerd,6755213319202780,767,VISA
2266826,Nikola,MacCosty,6929303609677910,445,VISA
6846342,Cheslie,Scamaden,3615187200981340,748,VISA
8224821,Ali,Cadamy,3067855684885000,176,AMERICAN EXPRESS
1597037,Celestia,Navarijo,9320573614342020,946,AMERICAN EXPRESS
2810497,Ludvig,Dudman,9457171247751410,583,VISA
3644911,Nye,Cosford,5805789244774330,601,AMERICAN EXPRESS
2318299,Irma,Hembry,7831314177295500,347,VISA
6873788,Anastasia,Yeldham,5161059049393480,633,AMERICAN EXPRESS
6612821,Lura,McMoyer,1547057005699610,316,VISA
4987140,Morie,Raiman,3926631335954410,947,VISA
2036884,Reina,Haliburton,7944927816386890,943,MASTERCARD
3769829,Bobinette,Atty,5992467497422830,202,MASTERCARD
4211561,Willie,Salzberger,4418225164437340,501,VISA
5105864,Ola,McIvor,7723517721906300,406,MASTERCARD
7261229,Halette,Baldacchino,6150960661706680,548,MASTERCARD
7161521,Sondra,Gavozzi,6799795880867740,678,VISA
8473434,Breanne,Ellissen,7308436039579590,358,MASTERCARD
4890659,Theadora,Whatsize,2942880039099490,318,AMERICAN EXPRESS
9554929,Leigha,Sawney,4839336125544070,753,MASTERCARD
3302069,Rainer,Littleproud,7410778911587080,438,MASTERCARD
3101816,Nissy,Petroselli,7633054235248950,329,VISA
6107862,Karalee,Piechnik,5509665121165690,382,MASTERCARD
7004578,Juline,Endecott,8099880664900670,511,VISA
1324909,Mirna,Compfort,5109610708799570,758,AMERICAN EXPRESS
9469049,Vonny,Simeons,9330141658103140,636,VISA
1727112,Gearard,Petican,9911966827645980,878,MASTERCARD
2357783,Ardra,Birrell,7727475483100160,746,VISA
7188740,Rafa,Tyrie,8920850151024180,830,AMERICAN EXPRESS
7896685,Arden,Pergens,6356955929821950,612,VISA
2966865,Nanice,Spurgeon,1508790760139510,234,AMERICAN EXPRESS
5923844,Jewelle,Prettjohn,3692622450039790,892,VISA
3644480,Jarrod,Mitchley,7731730799409680,501,AMERICAN EXPRESS
6612821,Lura,McMoyer,1547057005699610,316,VISA
7672646,Heindrick,Proswell,4766389477668550,353,MASTERCARD
2966865,Nanice,Spurgeon,1508790760139510,234,AMERICAN EXPRESS
9994559,Staffard,Winkworth,4315660760031880,664,MASTERCARD
6196206,Moyra,Cromar,8416279610277510,865,AMERICAN EXPRESS
5291146,Trixie,Marcome,5074642319937190,634,MASTERCARD
4901189,Darcy,Horsell,3037597850361150,110,VISA
2736288,Burtie,Asken,8504428726232130,912,MASTERCARD
2747385,Artemus,Found,6342973517538360,986,MASTERCARD
